StockCode,Description,ABC_Class,ObsolescenceRisk,AvgDailyDemand,DemandStd,DemandCV,LeadTimeDays,SafetyStock,ReorderPoint,CurrentStock,StockStatus,ExcessStock,DeficitStock,ExcessValue,DeficitValue,InventoryValue,ServiceLevelTarget,ServiceLevelAchievable,AnnualTurns,DaysOnHand,StatusColor,ActionPriority
22386,JUMBO BAG PINK POLKADOT,A,Low,52.17884615384615,51.96809394856429,0.9959609646280703,5,296,557.0,430.0,Understocked,0,127,0.0,250.9,849.52,0.99,0.908,44.3,8.2,#45B7D1,Immediate
15056N,EDWARDIAN PARASOL NATURAL,A,Low,20.13302752293578,29.639298408082787,1.4721729443978235,4,143,224.0,174.0,Understocked,0,50,0.0,291.9,1015.8,0.99,0.936,42.2,8.6,#45B7D1,Immediate
21621,VINTAGE UNION JACK BUNTING,A,Medium,12.161220043572985,16.162255190145583,1.328999486255253,3,54,90.0,86.0,Understocked,0,4,0.0,33.98,730.55,0.97,0.957,51.6,7.1,#45B7D1,Immediate
22112,CHOCOLATE HOT WATER BOTTLE,A,High,25.554123711340207,30.93127596915885,1.2104220954143856,3,82,159.0,205.0,Overstocked,30,0,146.55,0.0,1001.44,0.92,0.986,45.5,8.0,#FF6B6B,Immediate
85099F,JUMBO BAG STRAWBERRY,A,Low,47.61538461538461,53.443162629436245,1.1223927531222475,4,264,454.0,521.0,Overstocked,22,0,43.24,0.0,1023.92,0.99,0.998,33.4,10.9,#FF6B6B,Immediate
21931,JUMBO STORAGE BAG SUKI,A,Low,44.49909255898367,47.8112909743044,1.0744329428949682,4,237,415.0,389.0,Understocked,0,26,0.0,51.4,769.01,0.99,0.981,41.8,8.7,#45B7D1,Immediate
22139,RETROSPOT TEA SET CERAMIC 11 PC ,A,Medium,18.57707509881423,18.87989627379348,1.0163007994190958,3,65,121.0,172.0,Overstocked,39,0,192.67,0.0,849.74,0.97,1.0,39.4,9.3,#FF6B6B,Immediate
21754,HOME BUILDING BLOCK WORD,A,Low,13.421621621621622,11.519199209762311,0.8582568883632813,5,68,135.0,96.0,Understocked,0,39,0.0,232.77,572.98,0.99,0.84,51.0,7.2,#45B7D1,Immediate
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,A,Medium,27.950819672131146,29.603205344399406,1.0591176105620903,3,101,185.0,174.0,Understocked,0,11,0.0,32.22,509.61,0.97,0.953,58.6,6.2,#45B7D1,Immediate
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,A,High,77.75129533678756,73.26770484895917,0.9423342020424577,3,204,437.0,459.0,Optimal,0,0,0.0,0.0,1335.14,0.92,0.94,61.8,5.9,#4ECDC4,Low
85099C,JUMBO  BAG BAROQUE BLACK WHITE,A,Low,42.12476370510397,46.743249504434665,1.1096382600900168,4,231,399.0,472.0,Overstocked,33,0,64.92,0.0,928.59,0.99,0.999,32.6,11.2,#FF6B6B,Immediate
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,A,Medium,41.65451055662188,47.27403360888738,1.1349079121846062,3,161,286.0,480.0,Overstocked,165,0,327.95,0.0,954.03,0.97,1.0,31.7,11.5,#FF6B6B,Immediate
22111,SCOTTIE DOG HOT WATER BOTTLE,A,Low,23.28342245989305,31.04117982763907,1.3331880174020454,4,151,244.0,195.0,Understocked,0,49,0.0,239.93,954.84,0.99,0.942,43.6,8.4,#45B7D1,Immediate
21733,RED HANGING HEART T-LIGHT HOLDER,A,Low,29.05189620758483,31.577924273093153,1.0869488190188712,4,157,273.0,347.0,Overstocked,47,0,137.34,0.0,1014.02,0.99,1.0,30.6,11.9,#FF6B6B,Immediate
82494L,WOODEN FRAME ANTIQUE WHITE ,A,Low,28.536489151873766,27.237212793751787,0.9544696493248657,5,156,299.0,415.0,Overstocked,86,0,249.82,0.0,1205.52,0.99,1.0,25.1,14.5,#FF6B6B,Immediate
22138,BAKING SET 9 PIECE RETROSPOT ,A,Medium,16.32595573440644,18.248574578172768,1.117764550819801,3,62,111.0,63.0,Understocked,0,48,0.0,236.85,310.86,0.97,0.664,94.6,3.9,#45B7D1,Immediate
22457,NATURAL SLATE HEART CHALKBOARD ,A,Low,29.75391498881432,25.872355290363174,0.8695445725407773,5,151,300.0,423.0,Overstocked,93,0,275.33,0.0,1252.29,0.99,1.0,25.7,14.2,#FF6B6B,Immediate
22090,PAPER BUNTING RETROSPOT,A,Medium,27.58350100603622,31.31618104073851,1.135322924884896,3,107,190.0,144.0,Understocked,0,46,0.0,133.83,418.95,0.97,0.86,69.9,5.2,#45B7D1,Immediate
82486,WOOD S/3 CABINET ANT WHITE FINISH,A,Low,9.93305439330544,10.527577615077442,1.0598530117959177,4,52,92.0,55.0,Understocked,0,37,0.0,304.89,453.22,0.99,0.751,65.9,5.5,#45B7D1,Immediate
21181,PLEASE ONE PERSON METAL SIGN,A,Low,47.984375,44.816420032943185,0.9339794471209261,5,258,498.0,958.0,Overstocked,410,0,851.85,0.0,1990.42,0.99,1.0,18.3,20.0,#FF6B6B,Immediate
21137,BLACK RECORD COVER FRAME,A,Low,34.0926517571885,39.45145967121161,1.157183663863671,4,194,330.0,643.0,Overstocked,280,0,1014.11,0.0,2328.84,0.99,1.0,19.4,18.9,#FF6B6B,Immediate
22178,VICTORIAN GLASS HANGING T-LIGHT,A,Low,54.8527724665392,55.491079388708876,1.0116367303504858,4,278,497.0,851.0,Overstocked,304,0,405.89,0.0,1136.21,0.99,1.0,23.5,15.5,#FF6B6B,Immediate
22383,LUNCH BAG SUKI  DESIGN ,A,Low,43.67619047619048,43.60520646965636,0.9983747665316,5,249,467.0,447.0,Understocked,0,20,0.0,32.92,735.78,0.99,0.984,35.7,10.2,#45B7D1,Immediate
84078A,SET/4 WHITE RETRO STORAGE CUBES ,A,Medium,5.3,13.492678790825085,2.5457884510990727,4,51,72.0,47.0,Understocked,0,25,0.0,963.55,1811.48,0.97,0.828,41.2,8.9,#45B7D1,Immediate
82484,WOOD BLACK BOARD ANT WHITE FINISH,A,Low,13.602380952380953,19.39247926579011,1.4256680013358738,4,94,148.0,226.0,Overstocked,63,0,442.75,0.0,1588.28,0.99,1.0,22.0,16.6,#FF6B6B,Immediate
20727,LUNCH BAG  BLACK SKULL.,A,Low,40.71739130434783,41.73283606765188,1.024938846295775,4,208,371.0,430.0,Overstocked,22,0,36.12,0.0,705.91,0.99,0.999,34.6,10.6,#FF6B6B,Immediate
15056BL,EDWARDIAN PARASOL BLACK,A,Low,15.990220048899756,24.36416732039421,1.5236918094864267,4,117,181.0,124.0,Understocked,0,57,0.0,334.1,726.81,0.99,0.883,47.1,7.8,#45B7D1,Immediate
22470,HEART OF WICKER LARGE,A,Low,31.0125313283208,29.34618092756814,0.9462684815015102,5,169,324.0,403.0,Overstocked,47,0,138.32,0.0,1186.05,0.99,1.0,28.1,13.0,#FF6B6B,Immediate
48187,DOORMAT NEW ENGLAND,A,Low,10.935205183585314,15.499480242333407,1.4173927221410956,4,75,119.0,66.0,Understocked,0,53,0.0,400.3,498.48,0.99,0.755,60.5,6.0,#45B7D1,Immediate
21232,STRAWBERRY CERAMIC TRINKET BOX,A,Low,54.9146110056926,53.19462002684923,0.968678809749466,5,305,580.0,1081.0,Overstocked,443,0,552.14,0.0,1347.32,0.99,1.0,18.5,19.7,#FF6B6B,Immediate
22114,HOT WATER BOTTLE TEA AND SYMPATHY,A,Low,27.28482972136223,32.87250902948047,1.2047906974381246,4,161,270.0,240.0,Understocked,0,30,0.0,119.78,958.21,0.99,0.971,41.5,8.8,#45B7D1,Immediate
21929,JUMBO BAG PINK VINTAGE PAISLEY,A,Medium,38.45302713987474,48.84191673936861,1.2701709168878637,3,165,280.0,418.0,Overstocked,110,0,218.69,0.0,831.01,0.97,1.0,33.6,10.9,#FF6B6B,Immediate
82482,WOODEN PICTURE FRAME WHITE FINISH,A,Low,28.0625,28.003717736591828,0.9979053090990406,5,160,300.0,290.0,Understocked,0,10,0.0,25.68,744.74,0.99,0.985,35.3,10.3,#45B7D1,Immediate
21928,JUMBO BAG SCANDINAVIAN PAISLEY,A,Low,37.3099173553719,44.52866832837858,1.193480754841911,4,219,368.0,471.0,Overstocked,66,0,130.54,0.0,931.61,0.99,1.0,28.9,12.6,#FF6B6B,Immediate
22469,HEART OF WICKER SMALL,A,Low,53.75257731958763,48.17056923174446,0.8961536661832015,5,280,549.0,725.0,Overstocked,121,0,197.98,0.0,1186.22,0.99,1.0,27.1,13.5,#FF6B6B,Immediate
85066,CREAM SWEETHEART MINI CHEST,A,Low,6.469483568075117,10.626947244278131,1.6426268236801467,5,57,89.0,69.0,Understocked,0,20,0.0,253.17,873.42,0.99,0.932,34.2,10.7,#45B7D1,Immediate
21755,LOVE BUILDING BLOCK WORD,A,Low,10.593810444874274,9.059953218026934,0.8552119433485348,5,53,106.0,207.0,Overstocked,90,0,537.5,0.0,1236.25,0.99,1.0,18.7,19.5,#FF6B6B,Immediate
48194,DOORMAT HEARTS,A,Low,9.442190669371197,16.98574261260845,1.7989196794878552,4,81,119.0,198.0,Overstocked,67,0,509.27,0.0,1505.02,0.99,1.0,17.4,21.0,#FF6B6B,Immediate
21523,DOORMAT FANCY FONT HOME SWEET HOME,A,Low,11.281553398058252,15.68123305378649,1.3899888162994911,4,76,121.0,231.0,Overstocked,98,0,737.39,0.0,1738.14,0.99,1.0,17.8,20.5,#FF6B6B,Immediate
21485,RETROSPOT HEART HOT WATER BOTTLE,A,Medium,18.48238482384824,22.460964659328305,1.2152633371396107,3,76,131.0,241.0,Overstocked,97,0,476.32,0.0,1183.45,0.97,1.0,28.0,13.0,#FF6B6B,Immediate
21212,PACK OF 72 RETROSPOT CAKE CASES,A,Medium,109.02094240837697,96.54266194089941,0.8855423536815918,4,398,834.0,1165.0,Overstocked,248,0,134.94,0.0,633.87,0.97,1.0,34.2,10.7,#FF6B6B,Immediate
22384,LUNCH BAG PINK POLKADOT,A,Low,38.119001919385795,40.17597401722439,1.0539618561416872,4,200,352.0,663.0,Overstocked,276,0,455.52,0.0,1094.25,0.99,1.0,21.0,17.4,#FF6B6B,Immediate
22960,JAM MAKING SET WITH JARS,A,Low,28.256227758007118,30.47361573097898,1.078474309874697,4,151,264.0,167.0,Understocked,0,97,0.0,405.4,697.95,0.99,0.797,61.8,5.9,#45B7D1,Immediate
20728,LUNCH BAG CARS BLUE,A,Low,35.722627737226276,37.14406557860356,1.0397909653184896,4,185,328.0,260.0,Understocked,0,68,0.0,112.15,428.82,0.99,0.929,50.1,7.3,#45B7D1,Immediate
84946,ANTIQUE SILVER TEA GLASS ETCHED,A,Low,54.8625,53.51219643235188,0.9753874947797108,5,306,580.0,329.0,Understocked,0,251,0.0,310.03,406.37,0.99,0.661,60.9,6.0,#45B7D1,Immediate
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,A,Low,18.221006564551423,24.612821074905394,1.3507937109681476,4,119,192.0,190.0,Understocked,0,2,0.0,7.81,741.92,0.99,0.989,35.0,10.4,#45B7D1,Immediate
22083,PAPER CHAIN KIT RETROSPOT,A,Medium,24.012820512820515,27.06712739844569,1.127194840939009,3,92,164.0,178.0,Optimal,0,0,0.0,0.0,520.0,0.97,0.985,49.2,7.4,#4ECDC4,Low
23298,SPOTTY BUNTING,A,Low,36.32960893854749,33.23710809232045,0.9148765721244595,5,192,374.0,339.0,Understocked,0,35,0.0,172.51,1670.92,0.99,0.971,39.1,9.3,#45B7D1,Immediate
21175,GIN + TONIC DIET METAL SIGN,A,Low,28.143724696356276,29.364285255615226,1.0433688352351234,4,146,259.0,451.0,Overstocked,166,0,379.05,0.0,1029.82,0.99,1.0,22.8,16.0,#FF6B6B,Immediate
21524,DOORMAT SPOTTY HOME SWEET HOME,A,Low,9.26865671641791,14.329766196979968,1.5460456283376134,4,69,106.0,110.0,Optimal,0,0,0.0,0.0,832.57,0.99,0.993,30.8,11.9,#4ECDC4,Low
22382,LUNCH BAG SPACEBOY DESIGN ,A,Low,35.00757575757576,32.54207522218807,0.9295723716357552,5,188,363.0,334.0,Understocked,0,29,0.0,47.77,550.16,0.99,0.975,38.3,9.5,#45B7D1,Immediate
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,A,Low,23.004434589800443,25.841998165381888,1.1233485467553959,4,128,220.0,289.0,Overstocked,47,0,138.0,0.0,848.54,0.99,1.0,29.1,12.6,#FF6B6B,Immediate
23203,JUMBO BAG VINTAGE DOILY ,A,Medium,83.72881355932203,76.14239736457783,0.9093930049615571,4,313,648.0,461.0,Understocked,0,187,0.0,385.61,950.63,0.97,0.776,66.3,5.5,#45B7D1,Immediate
82483,WOOD 2 DRAWER CABINET WHITE FINISH,A,Low,11.316628701594533,14.07684297856239,1.2439078235887457,4,69,114.0,194.0,Overstocked,69,0,432.09,0.0,1214.87,0.99,1.0,21.3,17.1,#FF6B6B,Immediate
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,A,Low,17.57787810383747,23.351439693493496,1.3284561171462206,4,113,183.0,112.0,Understocked,0,71,0.0,275.02,433.84,0.99,0.804,57.3,6.4,#45B7D1,Immediate
22197,SMALL POPCORN HOLDER,A,Low,68.04380952380953,74.66160289795481,1.0972578316890034,4,370,642.0,1271.0,Overstocked,565,0,475.68,0.0,1070.06,0.99,1.0,19.5,18.7,#FF6B6B,Immediate
84029E,RED WOOLLY HOTTIE WHITE HEART.,A,Low,29.04332129963899,39.78235535541672,1.3697591589124214,4,193,309.0,512.0,Overstocked,172,0,653.2,0.0,1944.41,0.99,1.0,20.7,17.6,#FF6B6B,Immediate
20726,LUNCH BAG WOODLAND,A,Low,31.948811700182816,35.17612844418243,1.1010152356928238,4,174,302.0,241.0,Understocked,0,61,0.0,100.65,397.66,0.99,0.935,48.4,7.5,#45B7D1,Immediate
22699,ROSES REGENCY TEACUP AND SAUCER ,A,Low,28.4056338028169,27.6641270054355,0.9738957841064659,5,158,300.0,152.0,Understocked,0,148,0.0,431.76,443.43,0.99,0.558,68.2,5.4,#45B7D1,Immediate
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,A,Low,28.730650154798763,40.25969913475145,1.4012804763496463,4,195,310.0,534.0,Overstocked,193,0,634.09,0.0,1754.42,0.99,1.0,19.6,18.6,#FF6B6B,Immediate
22752,SET 7 BABUSHKA NESTING BOXES,A,Low,12.939163498098859,31.936305085336674,2.468189314558785,4,151,203.0,317.0,Overstocked,94,0,805.69,0.0,2717.06,0.99,1.0,14.9,24.5,#FF6B6B,Immediate
22189,CREAM HEART CARD HOLDER,A,Low,16.529933481152995,21.78288552959788,1.3177842218442177,4,106,172.0,274.0,Overstocked,85,0,332.44,0.0,1071.63,0.99,1.0,22.0,16.6,#FF6B6B,Immediate
47590B,PINK HAPPY BIRTHDAY BUNTING,A,Low,13.02216748768473,20.99352048730492,1.612137188924872,4,101,153.0,254.0,Overstocked,86,0,464.92,0.0,1373.13,0.99,1.0,18.7,19.5,#FF6B6B,Immediate
22622,BOX OF VINTAGE ALPHABET BLOCKS,A,Medium,10.007194244604317,17.13083920965679,1.7118523724962573,4,66,106.0,65.0,Understocked,0,41,0.0,430.08,681.84,0.97,0.761,56.2,6.5,#45B7D1,Immediate
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,A,Low,23.0,23.28036096394491,1.0121896071280396,4,116,208.0,216.0,Optimal,0,0,0.0,0.0,1074.8,0.99,0.993,38.9,9.4,#4ECDC4,Low
20750,RED RETROSPOT MINI CASES,A,Medium,8.374429223744292,10.674784078363986,1.2746879570129297,3,36,61.0,41.0,Understocked,0,20,0.0,155.12,318.0,0.97,0.796,74.6,4.9,#45B7D1,Immediate
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,A,Low,21.32882882882883,28.37303869937262,1.3302670731279242,4,138,223.0,400.0,Overstocked,155,0,453.97,0.0,1171.55,0.99,1.0,19.5,18.8,#FF6B6B,Immediate
22865,HAND WARMER OWL DESIGN,A,Low,69.90163934426229,77.35277506647448,1.106594577639527,4,383,663.0,951.0,Overstocked,222,0,466.8,0.0,1999.69,0.99,1.0,26.8,13.6,#FF6B6B,Immediate
22629,SPACEBOY LUNCH BOX ,A,Low,36.103896103896105,35.75064991235605,0.9902158428961928,5,204,385.0,384.0,Understocked,0,1,0.0,1.93,742.61,0.99,0.99,34.3,10.6,#45B7D1,Immediate
21217,RED SPOTTY ROUND CAKE TINS,A,Low,6.711442786069652,10.158902998485052,1.5136690160826505,4,49,76.0,45.0,Understocked,0,31,0.0,305.41,443.34,0.99,0.806,54.4,6.7,#45B7D1,Immediate
23284,DOORMAT KEEP CALM AND COME IN,A,Low,25.152173913043477,27.015243648728955,1.074071916889829,4,134,235.0,227.0,Understocked,0,8,0.0,63.72,1808.19,0.99,0.986,40.4,9.0,#45B7D1,Immediate
48184,DOORMAT ENGLISH ROSE ,A,Low,9.37084398976982,14.81918607591258,1.5814142346293174,4,71,108.0,107.0,Understocked,0,1,0.0,7.51,803.09,0.99,0.989,32.0,11.4,#45B7D1,Immediate
85152,HAND OVER THE CHOCOLATE   SIGN ,A,High,26.614432989690723,28.153391050139053,1.0578241911463775,3,76,156.0,249.0,Overstocked,77,0,160.63,0.0,519.44,0.92,0.999,39.0,9.4,#FF6B6B,Immediate
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,A,Low,15.64203233256351,22.518794363015235,1.4396335389318762,4,109,172.0,250.0,Overstocked,61,0,235.56,0.0,965.39,0.99,1.0,22.8,16.0,#FF6B6B,Immediate
22727,ALARM CLOCK BAKELIKE RED ,A,Low,20.169696969696968,21.627440703820106,1.072273953164158,4,107,188.0,344.0,Overstocked,137,0,515.02,0.0,1293.18,0.99,1.0,21.4,17.1,#FF6B6B,Immediate
22467,GUMBALL COAT RACK,A,Low,30.24507042253521,34.962275022989594,1.15596606437192,4,172,293.0,354.0,Overstocked,32,0,79.81,0.0,882.9,0.99,0.999,31.2,11.7,#FF6B6B,Immediate
23084,RABBIT NIGHT LIGHT,A,Low,147.20454545454547,158.24643658466704,1.0750105310676779,4,786,1375.0,934.0,Understocked,0,441,0.0,917.71,1943.63,0.99,0.847,57.5,6.3,#45B7D1,Immediate
22624,IVORY KITCHEN SCALES,A,Low,7.652061855670103,8.586695488196654,1.1221414110543286,4,42,73.0,115.0,Overstocked,35,0,299.23,0.0,983.2,0.99,1.0,24.3,15.0,#FF6B6B,Immediate
20713,JUMBO BAG OWLS,A,Low,33.18320610687023,40.02495424286751,1.2061810457362878,4,196,329.0,540.0,Overstocked,178,0,351.37,0.0,1065.96,0.99,1.0,22.4,16.3,#FF6B6B,Immediate
20712,JUMBO BAG WOODLAND ANIMALS,A,Low,28.959276018099548,36.0339744878149,1.2442981815323584,4,176,292.0,392.0,Overstocked,71,0,140.97,0.0,778.31,0.99,1.0,27.0,13.5,#FF6B6B,Immediate
37503,TEA TIME CAKE STAND IN GIFT BOX,A,Low,13.803468208092486,20.9602777585497,1.518479083848031,5,114,183.0,303.0,Overstocked,102,0,1082.4,0.0,3215.37,0.99,1.0,16.6,22.0,#FF6B6B,Immediate
22077,6 RIBBONS RUSTIC CHARM,A,Low,29.640256959314776,24.558748131879085,0.8285605676627317,5,145,293.0,364.0,Overstocked,42,0,71.73,0.0,621.64,0.99,1.0,29.7,12.3,#FF6B6B,Immediate
48185,DOORMAT FAIRY CAKE,A,Low,8.587654320987655,13.555545636527238,1.5784922319705381,4,65,99.0,127.0,Overstocked,18,0,135.76,0.0,957.88,0.99,1.0,24.7,14.8,#FF6B6B,Immediate
21166,COOK WITH WINE METAL SIGN ,A,Low,28.863849765258216,32.30713282329589,1.1192939641122355,4,160,275.0,314.0,Overstocked,12,0,23.81,0.0,623.05,0.99,0.998,33.6,10.9,#FF6B6B,Immediate
22697,GREEN REGENCY TEACUP AND SAUCER,A,Low,24.672566371681416,24.666932496337395,0.9997716542633163,5,141,264.0,142.0,Understocked,0,122,0.0,358.53,417.31,0.99,0.621,63.4,5.8,#45B7D1,Immediate
22866,HAND WARMER SCOTTY DOG DESIGN,A,Low,67.77844311377245,79.95980927169799,1.1797233102194156,4,393,664.0,439.0,Understocked,0,225,0.0,470.66,918.31,0.99,0.84,56.4,6.5,#45B7D1,Immediate
22385,JUMBO BAG SPACEBOY DESIGN,A,Low,28.7981220657277,36.3167969077882,1.2610821228169036,4,177,292.0,160.0,Understocked,0,132,0.0,261.31,316.74,0.99,0.722,65.7,5.6,#45B7D1,Immediate
21731,RED TOADSTOOL LED NIGHT LIGHT,A,Low,30.752783964365257,28.262385046681494,0.9190187489831975,5,164,318.0,463.0,Overstocked,113,0,187.51,0.0,768.31,0.99,1.0,24.2,15.1,#FF6B6B,Immediate
21527,RED RETROSPOT TRADITIONAL TEAPOT ,A,Medium,10.15032679738562,16.994414219000067,1.6742726178409597,3,57,87.0,85.0,Understocked,0,2,0.0,15.66,665.65,0.97,0.965,43.6,8.4,#45B7D1,Immediate
22867,HAND WARMER BIRD DESIGN,A,Low,66.53892215568862,81.40725734373345,1.223453201620184,4,398,664.0,839.0,Overstocked,109,0,229.99,0.0,1770.27,0.99,1.0,28.9,12.6,#FF6B6B,Immediate
21930,JUMBO STORAGE BAG SKULLS,A,Low,25.35593220338983,33.96183081041706,1.3394037552236675,4,165,266.0,495.0,Overstocked,202,0,398.59,0.0,976.74,0.99,1.0,18.7,19.5,#FF6B6B,Immediate
47590A,BLUE HAPPY BIRTHDAY BUNTING,A,Low,12.890532544378699,22.37679420746834,1.735909213248634,4,107,159.0,139.0,Understocked,0,20,0.0,108.73,755.67,0.99,0.972,33.8,10.8,#45B7D1,Immediate
20679,EDWARDIAN PARASOL RED,A,Low,11.521613832853026,18.322306116705374,1.590255183215799,4,88,134.0,149.0,Overstocked,2,0,11.81,0.0,879.65,0.99,0.997,28.2,12.9,#FF6B6B,Immediate
85014B,RED RETROSPOT UMBRELLA,A,Medium,9.971722365038561,14.691210724146485,1.473287180121934,3,49,79.0,129.0,Overstocked,42,0,250.7,0.0,770.0,0.97,1.0,28.2,12.9,#FF6B6B,Immediate
22726,ALARM CLOCK BAKELIKE GREEN,A,Low,20.106164383561644,19.953012579825785,0.9923828433502179,5,114,215.0,181.0,Understocked,0,34,0.0,128.19,682.44,0.99,0.95,40.5,9.0,#45B7D1,Immediate
22666,RECIPE BOX PANTRY YELLOW DESIGN,A,Low,19.81958762886598,20.46610427313699,1.0326200855626988,4,102,181.0,111.0,Understocked,0,70,0.0,206.13,326.86,0.99,0.765,65.2,5.6,#45B7D1,Immediate
47566B,TEA TIME PARTY BUNTING,A,Low,14.912650602409638,21.53999069162699,1.4444106058614747,4,104,164.0,153.0,Understocked,0,11,0.0,52.16,725.44,0.99,0.982,35.6,10.3,#45B7D1,Immediate
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,A,Low,45.1044776119403,59.023249909258176,1.3085895909729643,4,287,467.0,346.0,Understocked,0,121,0.0,313.54,896.58,0.99,0.91,47.6,7.7,#45B7D1,Immediate
84406B,CREAM CUPID HEARTS COAT HANGER,A,Low,17.50518134715026,28.569463747123365,1.6320575708731122,4,137,207.0,392.0,Overstocked,164,0,571.71,0.0,1366.52,0.99,1.0,16.3,22.4,#FF6B6B,Immediate
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,A,Low,20.1740614334471,30.76780712081394,1.525117152156739,4,148,229.0,392.0,Overstocked,140,0,539.12,0.0,1509.53,0.99,1.0,18.8,19.4,#FF6B6B,Immediate
82600,NO SINGING METAL SIGN,A,Low,23.57777777777778,26.24044116033566,1.1129310576956688,4,130,224.0,325.0,Overstocked,79,0,163.42,0.0,672.3,0.99,1.0,26.5,13.8,#FF6B6B,Immediate
22607,WOODEN ROUNDERS GARDEN SET ,A,Low,9.00749063670412,12.138298461649597,1.3475782491727413,4,59,95.0,172.0,Overstocked,67,0,625.68,0.0,1606.23,0.99,1.0,19.1,19.1,#FF6B6B,Immediate
21623,VINTAGE UNION JACK MEMOBOARD,A,Medium,8.306620209059233,21.64421606080301,2.605658561011101,3,71,96.0,164.0,Overstocked,58,0,571.67,0.0,1616.44,0.97,1.0,18.5,19.7,#FF6B6B,Immediate
22113,GREY HEART HOT WATER BOTTLE,A,Low,22.15139442231076,23.883571509466677,1.0781972030352762,4,119,208.0,162.0,Understocked,0,46,0.0,177.82,626.25,0.99,0.925,49.9,7.3,#45B7D1,Immediate
