StockCode,Description,ABC_Class,ObsolescenceRisk,ObsolescenceType,DemandStability,DemandCV,AvgDailyDemand,DemandStd,DaysWithSales,AvgUnitPrice,TotalRevenue,LeadTimeDays,LeadTimeStd,SafetyStock,ReorderPoint,CurrentStock,StockStatus,StatusReason,ExcessStock,DeficitStock,ExcessValue,DeficitValue,InventoryValue,DailyHoldingCost,ExcessHoldingCost,ServiceLevelTarget,ServiceLevelAchievable,StockoutRisk,ServiceLevelGap,AnnualTurns,DaysOnHand,YearMonth,AnalysisDate,IsOverstocked,IsUnderstocked,IsOptimal,InventoryValueSafe,ExcessValuePct,StockoutRiskPct,ServiceLevelGapPct,ServiceLevelTargetPct,ServiceLevelAchievablePct,StatusColor,ABC_Color,ActionPriority,RiskScore,Category,Recommendation,ImpactValue
85099F,JUMBO BAG STRAWBERRY,A,Low,Stable,Volatile,1.1223927531222475,47.61538461538461,53.443162629436245,520,1.9652888507326007,45387.61,4,0.8,264,454.0,521.0,Overstocked,Overstocked: Stock 521.0 > tolerance 499,22,0,43.24,0.0,1023.92,0.7,0.03,0.99,0.998,0.002,-0.008,33.4,10.9,2026-02,2026-02-10,1,0,0,1023.92,0.04222986170794594,0.2,-0.8,99.0,99.8,#FF6B6B,#FFD700,Critical,80,A-Overstocked,Reduce by 22 units to 454,43.24
21931,JUMBO STORAGE BAG SUKI,A,Low,Stable,Volatile,1.0744329428949682,44.49909255898367,47.8112909743044,551,1.9768966257074243,45351.1,4,0.8,237,415.0,389.0,Understocked,Understocked by 26 units,0,26,0.0,51.4,769.01,0.53,0.0,0.99,0.981,0.019,0.009,41.8,8.7,2026-02,2026-02-10,0,1,0,769.01,0.0,1.9,0.8999999999999999,99.0,98.1,#45B7D1,#FFD700,Critical,90,A-Understocked,Increase by 26 units to 415,51.4
22139,RETROSPOT TEA SET CERAMIC 11 PC ,A,Medium,Fashion,Volatile,1.0163007994190958,18.57707509881423,18.87989627379348,506,4.940324111000989,44667.310000000005,3,0.6,65,121.0,172.0,Overstocked,Overstocked: Stock 172.0 > tolerance 133,39,0,192.67,0.0,849.74,0.58,0.13,0.97,1.0,0.0,-0.03,39.4,9.3,2026-02,2026-02-10,1,0,0,849.74,0.22673994398286532,0.0,-3.0,97.0,100.0,#FF6B6B,#FFD700,Critical,95,A-Overstocked,Reduce by 39 units to 121,192.67
21754,HOME BUILDING BLOCK WORD,A,Low,Stable,Moderate,0.8582568883632813,13.421621621621622,11.519199209762311,555,5.9684985699985695,43713.630000000005,5,1.0,68,135.0,96.0,Understocked,Understocked by 39 units,0,39,0.0,232.77,572.98,0.39,0.0,0.99,0.84,0.16,0.15,51.0,7.2,2026-02,2026-02-10,0,1,0,572.98,0.0,16.0,15.0,99.0,84.0,#45B7D1,#FFD700,Critical,80,A-Understocked,Increase by 39 units to 135,232.77
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,A,Medium,Fashion,Volatile,1.0591176105620903,27.950819672131146,29.603205344399406,549,2.9287739429160196,42704.79,3,0.6,101,185.0,174.0,Understocked,Understocked by 11 units,0,11,0.0,32.22,509.61,0.35,0.0,0.97,0.953,0.047,0.017,58.6,6.2,2026-02,2026-02-10,0,1,0,509.61,0.0,4.7,1.7000000000000002,97.0,95.3,#45B7D1,#FFD700,Critical,100,A-Understocked,Increase by 11 units to 185,32.22
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,A,High,Seasonal,Moderate,0.9423342020424577,77.75129533678756,73.26770484895917,193,2.9088063453529776,41313.9,3,0.9,204,437.0,459.0,Optimal,Within A-item guidelines,0,0,0.0,0.0,1335.14,0.91,0.0,0.92,0.94,0.06,-0.02,61.8,5.9,2026-02,2026-02-10,0,0,1,1335.14,0.0,6.0,-2.0,92.0,94.0,#4ECDC4,#FFD700,Low,75,A-Optimal,Maintain current levels,0.0
85099C,JUMBO  BAG BAROQUE BLACK WHITE,A,Low,Stable,Volatile,1.1096382600900168,42.12476370510397,46.743249504434665,529,1.9673503084816886,41126.9,4,0.8,231,399.0,472.0,Overstocked,Overstocked: Stock 472.0 > tolerance 439,33,0,64.92,0.0,928.59,0.64,0.04,0.99,0.999,0.001,-0.009,32.6,11.2,2026-02,2026-02-10,1,0,0,928.59,0.06991244790488806,0.1,-0.8999999999999999,99.0,99.9,#FF6B6B,#FFD700,Critical,80,A-Overstocked,Reduce by 33 units to 399,64.92
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,A,Medium,Fashion,Volatile,1.1349079121846062,41.65451055662188,47.27403360888738,521,1.987564766807089,40729.090000000004,3,0.6,161,286.0,480.0,Overstocked,Overstocked: Stock 480.0 > tolerance 315,165,0,327.95,0.0,954.03,0.65,0.22,0.97,1.0,0.0,-0.03,31.7,11.5,2026-02,2026-02-10,1,0,0,954.03,0.3437522929048353,0.0,-3.0,97.0,100.0,#FF6B6B,#FFD700,Critical,95,A-Overstocked,Reduce by 165 units to 286,327.95
22111,SCOTTIE DOG HOT WATER BOTTLE,A,Low,Stable,Volatile,1.3331880174020454,23.28342245989305,31.04117982763907,374,4.8966141412063875,40538.4,4,0.8,151,244.0,195.0,Understocked,Understocked by 49 units,0,49,0.0,239.93,954.84,0.65,0.0,0.99,0.942,0.058,0.048,43.6,8.4,2026-02,2026-02-10,0,1,0,954.84,0.0,5.800000000000001,4.8,99.0,94.19999999999999,#45B7D1,#FFD700,Critical,90,A-Understocked,Increase by 49 units to 244,239.93
21733,RED HANGING HEART T-LIGHT HOLDER,A,Low,Stable,Volatile,1.0869488190188712,29.05189620758483,31.577924273093153,501,2.922233736988228,40479.57,4,0.8,157,273.0,347.0,Overstocked,Overstocked: Stock 347.0 > tolerance 300,47,0,137.34,0.0,1014.02,0.69,0.09,0.99,1.0,0.0,-0.01,30.6,11.9,2026-02,2026-02-10,1,0,0,1014.02,0.1354411155598509,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,80,A-Overstocked,Reduce by 47 units to 273,137.34
82494L,WOODEN FRAME ANTIQUE WHITE ,A,Low,Stable,Moderate,0.9544696493248657,28.536489151873766,27.237212793751787,507,2.9048771570067715,40223.950000000004,5,1.0,156,299.0,415.0,Overstocked,Overstocked: Stock 415.0 > tolerance 329,86,0,249.82,0.0,1205.52,0.83,0.17,0.99,1.0,0.0,-0.01,25.1,14.5,2026-02,2026-02-10,1,0,0,1205.52,0.20723007498838675,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,70,A-Overstocked,Reduce by 86 units to 299,249.82
22138,BAKING SET 9 PIECE RETROSPOT ,A,Medium,Fashion,Volatile,1.117764550819801,16.32595573440644,18.248574578172768,497,4.934318485560941,38731.16,3,0.6,62,111.0,63.0,Understocked,Understocked by 48 units,0,48,0.0,236.85,310.86,0.21,0.0,0.97,0.664,0.336,0.306,94.6,3.9,2026-02,2026-02-10,0,1,0,310.86,0.0,33.6,30.599999999999998,97.0,66.4,#45B7D1,#FFD700,Critical,100,A-Understocked,Increase by 48 units to 111,236.85
22457,NATURAL SLATE HEART CHALKBOARD ,A,Low,Stable,Moderate,0.8695445725407773,29.75391498881432,25.872355290363174,447,2.9604896132949827,38232.520000000004,5,1.0,151,300.0,423.0,Overstocked,Overstocked: Stock 423.0 > tolerance 330,93,0,275.33,0.0,1252.29,0.86,0.19,0.99,1.0,0.0,-0.01,25.7,14.2,2026-02,2026-02-10,1,0,0,1252.29,0.21986121425548394,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,70,A-Overstocked,Reduce by 93 units to 300,275.33
22090,PAPER BUNTING RETROSPOT,A,Medium,Fashion,Volatile,1.135322924884896,27.58350100603622,31.31618104073851,497,2.9093701893903106,37706.39000000001,3,0.6,107,190.0,144.0,Understocked,Understocked by 46 units,0,46,0.0,133.83,418.95,0.29,0.0,0.97,0.86,0.14,0.11,69.9,5.2,2026-02,2026-02-10,0,1,0,418.95,0.0,14.000000000000002,11.0,97.0,86.0,#45B7D1,#FFD700,Critical,100,A-Understocked,Increase by 46 units to 190,133.83
82486,WOOD S/3 CABINET ANT WHITE FINISH,A,Low,Stable,Volatile,1.0598530117959177,9.93305439330544,10.527577615077442,478,8.240333959575866,37406.4,4,0.8,52,92.0,55.0,Understocked,Understocked by 37 units,0,37,0.0,304.89,453.22,0.31,0.0,0.99,0.751,0.249,0.239,65.9,5.5,2026-02,2026-02-10,0,1,0,453.22,0.0,24.9,23.9,99.0,75.1,#45B7D1,#FFD700,Critical,90,A-Understocked,Increase by 37 units to 92,304.89
21181,PLEASE ONE PERSON METAL SIGN,A,Low,Stable,Moderate,0.9339794471209261,47.984375,44.816420032943185,384,2.0776866601280664,36867.46000000001,5,1.0,258,498.0,958.0,Overstocked,Overstocked: Stock 958.0 > tolerance 548,410,0,851.85,0.0,1990.42,1.36,0.58,0.99,1.0,0.0,-0.01,18.3,20.0,2026-02,2026-02-10,1,0,0,1990.42,0.4279750002512033,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,70,A-Overstocked,Reduce by 410 units to 498,851.85
21137,BLACK RECORD COVER FRAME,A,Low,Stable,Volatile,1.157183663863671,34.0926517571885,39.45145967121161,313,3.621831735889244,36822.99,4,0.8,194,330.0,643.0,Overstocked,Overstocked: Stock 643.0 > tolerance 363,280,0,1014.11,0.0,2328.84,1.6,0.69,0.99,1.0,0.0,-0.01,19.4,18.9,2026-02,2026-02-10,1,0,0,2328.84,0.43545713745899245,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,80,A-Overstocked,Reduce by 280 units to 330,1014.11
22178,VICTORIAN GLASS HANGING T-LIGHT,A,Low,Stable,Volatile,1.0116367303504858,54.8527724665392,55.491079388708876,523,1.3351506570760874,36800.65,4,0.8,278,497.0,851.0,Overstocked,Overstocked: Stock 851.0 > tolerance 547,304,0,405.89,0.0,1136.21,0.78,0.28,0.99,1.0,0.0,-0.01,23.5,15.5,2026-02,2026-02-10,1,0,0,1136.21,0.35723149769848883,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,80,A-Overstocked,Reduce by 304 units to 497,405.89
22383,LUNCH BAG SUKI  DESIGN ,A,Low,Stable,Moderate,0.9983747665316,43.67619047619048,43.60520646965636,525,1.6460492681921253,36684.9,5,1.0,249,467.0,447.0,Understocked,Understocked by 20 units,0,20,0.0,32.92,735.78,0.5,0.0,0.99,0.984,0.016,0.006,35.7,10.2,2026-02,2026-02-10,0,1,0,735.78,0.0,1.6,0.6,99.0,98.4,#45B7D1,#FFD700,Critical,80,A-Understocked,Increase by 20 units to 467,32.92
84078A,SET/4 WHITE RETRO STORAGE CUBES ,A,Medium,Fashion,Volatile,2.5457884510990727,5.3,13.492678790825085,190,38.5421052631579,36259.65,4,0.8,51,72.0,47.0,Understocked,Understocked by 25 units,0,25,0.0,963.55,1811.48,1.24,0.0,0.97,0.828,0.172,0.142,41.2,8.9,2026-02,2026-02-10,0,1,0,1811.48,0.0,17.2,14.2,97.0,82.8,#45B7D1,#FFD700,Critical,100,A-Understocked,Increase by 25 units to 72,963.55
82484,WOOD BLACK BOARD ANT WHITE FINISH,A,Low,Stable,Volatile,1.4256680013358738,13.602380952380953,19.39247926579011,420,7.02779903628118,35993.73,4,0.8,94,148.0,226.0,Overstocked,Overstocked: Stock 226.0 > tolerance 163,63,0,442.75,0.0,1588.28,1.09,0.3,0.99,1.0,0.0,-0.01,22.0,16.6,2026-02,2026-02-10,1,0,0,1588.28,0.2787606719218274,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,80,A-Overstocked,Reduce by 63 units to 148,442.75
20727,LUNCH BAG  BLACK SKULL.,A,Low,Stable,Volatile,1.024938846295775,40.71739130434783,41.73283606765188,552,1.6416606410899888,35760.6,4,0.8,208,371.0,430.0,Overstocked,Overstocked: Stock 430.0 > tolerance 408,22,0,36.12,0.0,705.91,0.48,0.02,0.99,0.999,0.001,-0.009,34.6,10.6,2026-02,2026-02-10,1,0,0,705.91,0.05116799592015979,0.1,-0.8999999999999999,99.0,99.9,#FF6B6B,#FFD700,Critical,80,A-Overstocked,Reduce by 22 units to 371,36.12
15056BL,EDWARDIAN PARASOL BLACK,A,Low,Stable,Volatile,1.5236918094864267,15.990220048899756,24.36416732039421,409,5.861334741053567,35603.11,4,0.8,117,181.0,124.0,Understocked,Understocked by 57 units,0,57,0.0,334.1,726.81,0.5,0.0,0.99,0.883,0.117,0.107,47.1,7.8,2026-02,2026-02-10,0,1,0,726.81,0.0,11.700000000000001,10.7,99.0,88.3,#45B7D1,#FFD700,Critical,90,A-Understocked,Increase by 57 units to 181,334.1
22470,HEART OF WICKER LARGE,A,Low,Stable,Moderate,0.9462684815015102,31.0125313283208,29.34618092756814,399,2.943060652797495,35309.9,5,1.0,169,324.0,403.0,Overstocked,Overstocked: Stock 403.0 > tolerance 356,47,0,138.32,0.0,1186.05,0.81,0.09,0.99,1.0,0.0,-0.01,28.1,13.0,2026-02,2026-02-10,1,0,0,1186.05,0.11662240209097424,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,70,A-Overstocked,Reduce by 47 units to 324,138.32
48187,DOORMAT NEW ENGLAND,A,Low,Stable,Volatile,1.4173927221410956,10.935205183585314,15.499480242333407,463,7.552771521135452,34823.65,4,0.8,75,119.0,66.0,Understocked,Understocked by 53 units,0,53,0.0,400.3,498.48,0.34,0.0,0.99,0.755,0.245,0.235,60.5,6.0,2026-02,2026-02-10,0,1,0,498.48,0.0,24.5,23.5,99.0,75.5,#45B7D1,#FFD700,Critical,90,A-Understocked,Increase by 53 units to 119,400.3
21232,STRAWBERRY CERAMIC TRINKET BOX,A,Low,Stable,Moderate,0.968678809749466,54.9146110056926,53.19462002684923,527,1.2463666647499663,34491.44,5,1.0,305,580.0,1081.0,Overstocked,Overstocked: Stock 1081.0 > tolerance 638,443,0,552.14,0.0,1347.32,0.92,0.38,0.99,1.0,0.0,-0.01,18.5,19.7,2026-02,2026-02-10,1,0,0,1347.32,0.40980613365792834,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,70,A-Overstocked,Reduce by 443 units to 580,552.14
22114,HOT WATER BOTTLE TEA AND SYMPATHY,A,Low,Stable,Volatile,1.2047906974381246,27.28482972136223,32.87250902948047,323,3.992552118933698,33904.43,4,0.8,161,270.0,240.0,Understocked,Understocked by 30 units,0,30,0.0,119.78,958.21,0.66,0.0,0.99,0.971,0.029,0.019,41.5,8.8,2026-02,2026-02-10,0,1,0,958.21,0.0,2.9000000000000004,1.9,99.0,97.1,#45B7D1,#FFD700,Critical,90,A-Understocked,Increase by 30 units to 270,119.78
21929,JUMBO BAG PINK VINTAGE PAISLEY,A,Medium,Fashion,Volatile,1.2701709168878637,38.45302713987474,48.84191673936861,479,1.988050352917785,33645.32,3,0.6,165,280.0,418.0,Overstocked,Overstocked: Stock 418.0 > tolerance 308,110,0,218.69,0.0,831.01,0.57,0.15,0.97,1.0,0.0,-0.03,33.6,10.9,2026-02,2026-02-10,1,0,0,831.01,0.26316169480511664,0.0,-3.0,97.0,100.0,#FF6B6B,#FFD700,Critical,95,A-Overstocked,Reduce by 110 units to 280,218.69
82482,WOODEN PICTURE FRAME WHITE FINISH,A,Low,Stable,Moderate,0.9979053090990406,28.0625,28.003717736591828,496,2.5680534856608443,33617.08,5,1.0,160,300.0,290.0,Understocked,Understocked by 10 units,0,10,0.0,25.68,744.74,0.51,0.0,0.99,0.985,0.015,0.005,35.3,10.3,2026-02,2026-02-10,0,1,0,744.74,0.0,1.5,0.5,99.0,98.5,#45B7D1,#FFD700,Critical,80,A-Understocked,Increase by 10 units to 300,25.68
21928,JUMBO BAG SCANDINAVIAN PAISLEY,A,Low,Stable,Volatile,1.193480754841911,37.3099173553719,44.52866832837858,484,1.9779493309720584,33075.02,4,0.8,219,368.0,471.0,Overstocked,Overstocked: Stock 471.0 > tolerance 405,66,0,130.54,0.0,931.61,0.64,0.09,0.99,1.0,0.0,-0.01,28.9,12.6,2026-02,2026-02-10,1,0,0,931.61,0.14012301284872425,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,80,A-Overstocked,Reduce by 66 units to 368,130.54
22469,HEART OF WICKER SMALL,A,Low,Stable,Moderate,0.8961536661832015,53.75257731958763,48.17056923174446,388,1.6361672273888768,32970.729999999996,5,1.0,280,549.0,725.0,Overstocked,Overstocked: Stock 725.0 > tolerance 604,121,0,197.98,0.0,1186.22,0.81,0.14,0.99,1.0,0.0,-0.01,27.1,13.5,2026-02,2026-02-10,1,0,0,1186.22,0.16689990052435466,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,70,A-Overstocked,Reduce by 121 units to 549,197.98
85066,CREAM SWEETHEART MINI CHEST,A,Low,Stable,Volatile,1.6426268236801467,6.469483568075117,10.626947244278131,426,12.658302034428795,32905.93,5,1.0,57,89.0,69.0,Understocked,Understocked by 20 units,0,20,0.0,253.17,873.42,0.6,0.0,0.99,0.932,0.068,0.058,34.2,10.7,2026-02,2026-02-10,0,1,0,873.42,0.0,6.800000000000001,5.800000000000001,99.0,93.2,#45B7D1,#FFD700,Critical,90,A-Understocked,Increase by 20 units to 89,253.17
21755,LOVE BUILDING BLOCK WORD,A,Low,Stable,Moderate,0.8552119433485348,10.593810444874274,9.059953218026934,517,5.97221815418624,32225.2,5,1.0,53,106.0,207.0,Overstocked,Overstocked: Stock 207.0 > tolerance 117,90,0,537.5,0.0,1236.25,0.85,0.37,0.99,1.0,0.0,-0.01,18.7,19.5,2026-02,2026-02-10,1,0,0,1236.25,0.43478260869565216,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,70,A-Overstocked,Reduce by 90 units to 106,537.5
